37,1,37,,17010589,,13383,13383,,62971800,,
62,1,62,,16010784,,68,66,,27924050,,
68,1,68,,16010784,,19420,19420,,11001875,,
103,1,103,,30010270,,20070,20070,,15593225,,
120,1,120,,40010110,,1000006,1000006,,40906000,,
155,1,155,,12210015,,157,157,,28022975,,
157,2,157,,12210015,12230155,162,162,,3809800,,
162,1,162,,12210015,,166,166,,22343725,,
166,2,166,,12210015,12230159,168,168,,37333300,,
168,1,168,,12210015,,172,172,,5320700,,
172,2,172,,12210015,12250001,20548,20548,,20965975,,
222,1,222,,16010280,,236,236,,53088725,,
236,1,236,,16010280,,238,238,,66399550,,
238,1,238,,16010280,,11114,11114,,56052400,,
279,1,279,,41010962,,6429,6429,,73916925,,
882,2,882,,10010314,10050030,3191,3191,,593100,,
884,1,884,,13010143,,892,892,,49037800,,
892,2,892,,13010143,13050010,1404,19677,,45112125,,
952,1,952,,12210135,,4490,4490,,42899500,,
998,1,998,,12210750,,1005,1005,,34420325,,
1005,1,1005,,12210750,,1007,1007,,50704700,,
1007,1,1007,,12210750,,1017,1017,,610850,,
1017,1,1017,,12210750,,1022,1022,,64383050,,
1022,1,1022,,12210750,,1026,1026,,51067975,,
296,1,296,,12210959,,6761,6761,,2923475,,
303,1,303,,30010832,,306,306,,58452225,,
306,1,306,,30010832,,20978,20978,,53560125,,
326,1,326,,12211090,,20668,20668,,46139050,,
359,1,359,,11010200,,19753,19753,,46934750,,
374,1,374,,10011083,,381,381,,79322650,,
381,1,381,,10011083,,17474,17474,,64424675,,
382,1,382,,11010144,,8482,8482,,52622675,,
455,1,455,,30010580,,20040,20040,,77266950,,
472,1,472,,12210654,,1438,1438,,15822600,,
494,1,494,,10012580,,499,499,,83172800,,
499,1,499,,10012580,,1000201,13958,,49602650,,
572,1,572,,12010480,,7296,7296,,42805700,,
589,1,589,,10012168,,18599,18599,,4754825,,
611,1,611,,10010867,,8043,8043,,70281050,,
643,1,643,,30010423,,19829,19829,,35006950,,
644,1,644,,12110336,,646,646,,62194425,,
646,1,646,,12110336,,647,647,,13551900,,
647,2,647,,12110336,12140430,648,648,,12164475,,
648,1,648,,12110336,,14389,14389,,5581075,,
669,1,669,,10010241,,3962,671,,59482200,,
1026,1,1026,,12210750,,20638,20638,,35018425,,
684,1,684,,10011415,,18350,18350,,4249275,,
700,2,700,,50010434,50030223,15917,4784,,9354100,,
715,2,715,,12210945,12231856,12804,12801,,35337825,,
716,1,716,,50010004,,719,719,,37756075,,
719,2,719,,50010004,50040002,8343,8343,,60620100,,
747,1,747,,50010412,,748,748,,58361463.02930405,1090661.8649860963,
748,2,748,,50010412,50030219,4778,4778,,8843075,,
1438,2,1438,,12210653,12241553,10900,10900,,37012850,,
2164,2,2164,,12210752,12241640,998,998,,61120775,,
2189,1,2189,,14010160,,2196,2196,,40212800,,
771,1,771,,30010769,,4415,1691,,3015375,,
2196,1,2196,,14010160,,2204,2204,,93540975,,
2204,1,2204,,14010160,,2210,2210,,78517175,,
2210,1,2210,,14010160,,2221,2221,,48674425,,
2221,1,2221,,14010160,,2225,2225,,35727525,,
2225,1,2225,,14010160,,20466,20466,,18371000,,
2270,1,2270,,10011539,,9520,9520,,74103775,,
2274,1,2274,,12010542,,20719,20719,,53920775,,
2374,1,2374,,20012050,,2379,2379,,31925275,,
6530,1,6530,,16010746,,19403,19403,,72138675,,
6583,1,6583,,12010535,,18698,18698,,65613075,,
6587,1,6587,,10010024,,1000057,1000057,,43648378.44852617,165498.8611999459,
782,1,782,,13010944,,17834,17834,,2888775,,
788,1,788,,10011536,,9517,9516,,27121500,,
792,1,792,,12211215,,1118,1118,,34114275,,
2810,1,2810,,12210326,,12408,12408,,10865000,,
2841,1,2841,,14010650,,20512,20512,,64242350,,
2902,1,2902,,50010007,,716,716,,63856625,,
2912,1,2912,,42010579,,12196,12196,,22449675,,
6629,1,6629,,20010111,,10806,10806,,40967050,,
6670,1,6670,,16010765,,6676,6671,,6105075,,
805,1,805,,30011128,,11363,11363,,4444625,,
836,1,836,,30010487,,838,838,,34936950,,
838,1,838,,30010487,,11891,11891,,12759600,,
851,1,851,,13010131,,18847,18847,,63573425,,
857,1,857,,12211231,,9088,9088,,79405950,,
880,1,880,,10010314,,882,882,,51469725,,
6987,1,6987,,15010601,,6990,6990,,55581241.45224701,636726.3383620452,
6990,1,6990,,15010601,,6992,6992,,36424050,,
19372,1,19372,,14010192,,2225,2225,,51539600,,
19381,1,19381,,10010020,,19385,19385,,73194432.03813906,10735688.47234124,
19385,1,19385,,10010020,,1000057,1000057,,18577375,,
19403,1,19403,,16010730,,19406,19406,,29378975,,
1090,1,1090,,10011401,,21558,21557,,4597650,,
1107,1,1107,,12211210,,1113,1113,,23825300,,
1113,1,1113,,12211210,,1118,1118,,16780075,,
1118,1,1118,,12211210,,1119,1119,,72605075,,
1119,1,1119,,12211210,,1126,1126,,18442675,,
1126,2,1126,,12211210,12250340,1127,1127,,41194775,,
7910,2,7910,,12110225,12130359,7911,7911,,12170850,,
1127,1,1127,,12211210,,1128,1128,,176575,,
1221,1,1221,,10010279,,1223,1223,,1066425,,
3191,2,3191,,10010240,10050030,3192,3192,,394375,,
3192,1,3192,,10010240,,13729,13729,,6184348.955231678,,
3202,1,3202,,11010180,,19750,19750,,46963875,,
1128,1,1128,,12211210,,1129,1129,,2262200,,
1129,2,1129,,12211210,12250341,1136,1136,,22534875,,
1136,1,1136,,12211210,,1144,1144,,41722675,,
1144,1,1144,,12211210,,1149,1149,,79638775,,
1149,1,1149,,12211210,,1154,1154,,83098075,,
1154,1,1154,,12211210,,1166,1166,,36919050,,
1166,1,1166,,12211210,,20681,20681,,32433900,,
1175,1,1175,,12110329,,16410,1176,,8712425,,
1181,1,1181,,10012431,,18837,18837,,35676925,,
1218,1,1218,,10010279,,1221,1221,,11993150,,
1301,1,1301,,13011010,,1309,1309,,82573325,,
1309,1,1309,,13011010,,1313,1313,,49543225,,
1313,1,1313,,13011010,,1317,1317,,59235300,,
1317,1,1317,,13011010,,1323,1323,,47092100,,
1223,2,1223,,10010279,10030110,1225,1224,,1276800,,
1225,2,1225,,10010279,10030110,10461,10461,,5766350,,
1323,1,1323,,13011010,,1324,1324,,26255525,,
1443,1,1443,,50010268,,1000100,1000100,,3457625,,
1474,1,1474,,10010520,,13747,19795,,17085025,,
3241,1,3241,,30010970,,3249,3249,,49646650,,
3249,1,3249,,30010970,,20024,20024,,18628200,,
3281,1,3281,,41010744,,1993,1993,,58603850,,
3308,1,3308,,10010889,,12374,3309,,4301000,,
3363,1,3363,,10010913,,3367,3367,,47167550,,
3367,1,3367,,10010913,,8063,8063,,42772650,,
3378,1,3378,,17010852,,20140,20140,,32383400,,
3415,2,3415,,12210657,12231563,18016,18016,,54131625,,
3423,1,3423,,13011065,,1369,1369,,31366250,,
1271,1,1271,,20010560,,21186,1275,,4497775,,
1324,1,1324,,13011010,,1326,1326,,5031800,,
1326,1,1326,,13011010,,1330,1330,,17517775,,
1330,1,1330,,13011010,,1336,1336,,24629875,,
1336,2,1336,,13011010,13050231,1342,1342,,35747625,,
1342,1,1342,,13011010,,1349,1349,,34301050,,
1349,1,1349,,13011010,,1356,1356,,79805700,,
1356,2,1356,,13011010,13050232,1357,1357,,26020825,,
1357,1,1357,,13011010,,1369,1369,,8451825,,
1369,1,1369,,13011010,,16154,16154,,79865525,,
1379,1,1379,,20012174,,20381,20381,,39466059.929473564,3846490.5868801624,
1404,1,1404,,13010163,,19686,19686,,47007075,,
1481,1,1481,,50010267,,1000100,1000100,,6518325,,
1491,1,1491,,17010060,,8187,8187,,38323200,,
1495,1,1495,,11010435,,1497,1497,,11935175,,
1497,2,1497,,11010435,11040132,1499,1499,,5828250,,
1859,1,1859,,41010030,,1875,1873,,35884975,,
1871,1,1871,,41010001,,1872,1872,,13939750,,
3432,1,3432,,15010360,,16618,16618,,35746875,,
3473,1,3473,,13011190,,3477,3477,,64830500,,
3477,2,3477,,13011190,13050280,3480,3478,,30209050,,
3480,2,3480,,13011190,13050281,3485,3485,,10204325,,
3485,1,3485,,13011190,,16163,16163,,33363875,,
3507,1,3507,,30010610,,3511,3508,,69392265.7992654,22248101.80788035,
3511,2,3511,,30010610,30050140,3513,3512,,34311800,,
7911,1,7911,,12110225,,1543,1543,,35878800,,
7936,1,7936,,41010120,,1884,1884,,63530675,,
7983,1,7983,,14010530,,7990,7990,,45250075,,
7990,1,7990,,14010530,,7996,7996,,54359650,,
7996,1,7996,,14010530,,20511,20511,,31237100,,
8006,1,8006,,12110270,,8011,8011,,13678775,,
